Original Entry,Title,Year,Format,TMDB Search JSON,TMDB ID,TMDB Rating,Genre,Poster Path,Cover URL,Cover Image,Runtime (min),Overview,Release Date,Watched?,My Rating (1-5),Notes,TMDB Source URL,Match Status
"10,000 B.C. (2008)","10,000 B.C.",2008,Blu-ray,,7840,5.504,"Adventure, Action, Drama, Fantasy",/9I7gV6wRbGnbfI3XOKjHeLMjYEo.jpg,https://image.tmdb.org/t/p/w342/9I7gV6wRbGnbfI3XOKjHeLMjYEo.jpg,,109,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,2008-03-04,Unwatched,,,https://www.themoviedb.org/movie/7840,Matched
2001: A Space Odyssey (1968),2001: A Space Odyssey,1968,Blu-ray,,62,8.049,"Science Fiction, Mystery, Adventure",/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,https://image.tmdb.org/t/p/w342/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,,149,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",1968-04-02,Unwatched,,,https://www.themoviedb.org/movie/62,Matched
3 from Hell (2019),3 from Hell,2019,Blu-ray,,489064,5.8,"Horror, Thriller",/iaURDnsqwTpFdg7RuizUp0nI2I4.jpg,https://image.tmdb.org/t/p/w342/iaURDnsqwTpFdg7RuizUp0nI2I4.jpg,,115,"After barely surviving a furious shootout with the police, Baby Firefly, Otis Driftwood and Captain Spaulding are behind bars. But pure evil cannot be contained. Teaming up with Otis’ half-brother Winslow, the demented Firefly clan escape to unleash a whole new wave of murder, madness and mayhem.",2019-09-16,Unwatched,,,https://www.themoviedb.org/movie/489064,Matched
30 Days of Night (2007),30 Days of Night,2007,Blu-ray,,4513,6.4,"Horror, Thriller",/7LwSrvFA0gz1KAlcrGcinoQPene.jpg,https://image.tmdb.org/t/p/w342/7LwSrvFA0gz1KAlcrGcinoQPene.jpg,,113,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",2007-10-17,Unwatched,,,https://www.themoviedb.org/movie/4513,Matched
30 Minutes or Less (2011),30 Minutes or Less,2011,Blu-ray,,62206,5.8,"Action, Adventure, Comedy",/12VgS5G6OG7ANKrSbhtUD2POHb8.jpg,https://image.tmdb.org/t/p/w342/12VgS5G6OG7ANKrSbhtUD2POHb8.jpg,,83,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",2011-08-11,Watched,3,,https://www.themoviedb.org/movie/62206,Matched
The 40-Year-Old Virgin (2005),The 40-Year-Old Virgin,2005,Blu-ray,,6957,6.422,"Comedy, Romance",/mVeoqL37gzhMXQVpONi9DGOQ3tZ.jpg,https://image.tmdb.org/t/p/w342/mVeoqL37gzhMXQVpONi9DGOQ3tZ.jpg,,116,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",2005-08-11,Watched,4,,https://www.themoviedb.org/movie/6957,Matched
42 (2013),42,2013,Blu-ray,,109410,7.196,Drama,/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg,https://image.tmdb.org/t/p/w342/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg,,128,"In 1947, Jackie Robinson becomes the first Black man to play in Major League Baseball facing unabashed racism from the public, the press and other players.",2013-04-12,Unwatched,,,https://www.themoviedb.org/movie/109410,Matched
[REC] (2007),[REC],2007,Blu-ray,,8329,7.227,"Horror, Mystery",/hgyJR4sgMsee6xMFM3xYiG6cDCh.jpg,https://image.tmdb.org/t/p/w342/hgyJR4sgMsee6xMFM3xYiG6cDCh.jpg,,78,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,2007-11-23,Watched,4,,https://www.themoviedb.org/movie/8329,Matched
[REC] 2 (2009),[REC] 2,2009,Blu-ray,,10664,6.628,"Thriller, Horror",/4JG5WKfIGD6r7hdbqJVr2WKIxEe.jpg,https://image.tmdb.org/t/p/w342/4JG5WKfIGD6r7hdbqJVr2WKIxEe.jpg,,84,"The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation.",2009-09-15,Unwatched,,,https://www.themoviedb.org/movie/10664,Matched
[REC] 4: Apocalipsis (2014),[REC] 4: Apocalipsis,2014,Blu-ray,,185341,5.619,"Thriller, Horror",/vbflx4rDj3YrRAAk4HSWsEgZVlK.jpg,https://image.tmdb.org/t/p/w342/vbflx4rDj3YrRAAk4HSWsEgZVlK.jpg,,95,"Ángela Vidal, the young television reporter who entered the building with the firemen, manages to make it out alive. But what the soldiers don't know is that she carries the seed of the strange infection. She is to be taken to a provisional quarantine facility, a high-security installation where she will have to stay in isolation for several days. An old oil tanker, miles off shore and surrounded by water on all sides, has been especially equipped for the quarantine.",2014-10-31,Unwatched,,,https://www.themoviedb.org/movie/185341,Matched
